CCS_CATEGORY,CCS_DESCRIPTION,DRUG_NAME,PATIENTS
1,Tuberculosis,"SODIUM CHLORIDE INJECTION ""Y.F.",2
1,Tuberculosis,CARBETIN TABLETS,1
1,Tuberculosis,"ZINC OXIDE OINTMENT ""WST",1
1,Tuberculosis,"COLD CAPSULES ""SWISS BRAND",4
1,Tuberculosis,"TRICODEX CREAM ""C.C.P.",1
1,Tuberculosis,GLIDIAB TABLETS 5MG(GLIPIZIDE) ,7
1,Tuberculosis,"YONFUPHARM"" IBUPROFEN TABLETS",1
1,Tuberculosis,"ISOBIDE TABLETS 10MG ""WEIDAR",2
1,Tuberculosis,"SULINTON TABLETS 200MG ""Y.S.""(SULINDAC)",1
1,Tuberculosis,SOLOFEN TABLETS 10MG (BACLOFEN),1
1,Tuberculosis,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",26
1,Tuberculosis,TAZOCIN LYO-INJECTION,3
1,Tuberculosis,TINTEN TABLETS 500MG,2
1,Tuberculosis,SECORINE SYRUP,2
1,Tuberculosis,"COLCHICINE TABLETS 0.5MG ""S.T.",1
1,Tuberculosis,BENSAU(BENZONATATE 100MG) SOFT CAPSULE,1
1,Tuberculosis,"MEPRON POWDER FOR INJECTION 0.04GM ""GENTLE",1
1,Tuberculosis,DELIBS F.C TABLETS 50MG,8
1,Tuberculosis,MECATER TABLETS 25MCG (PROCATEROL HYDROCHLORIDE HEMIHYDRATE),6
1,Tuberculosis,"NOSMA SUSTAINED-RELEASE   MICROSPHERES CAP. 125MG ""WECAM",16
1,Tuberculosis,"METICORT TABLETS 4MG ""KINGDOM"" (METHYLPREDNISOLONE)",1
1,Tuberculosis,ACTEIN EFFERVESCENT TABLETS 600MG,8
1,Tuberculosis,"MOCOUGH CAPSULES ""LITA",1
1,Tuberculosis,MOPRIDE F.C. TABLETS 5MG,4
1,Tuberculosis,ANXOKAST F.C. TABLETS 10MG,2
1,Tuberculosis,"DIAPIN TABLETS 2MG (DIAZEPAM)""PINE LAWER",1
1,Tuberculosis,CYPRODIN TABLETS,10
1,Tuberculosis,PROMERAN F.C. TABLETS 3.84MG ,12
1,Tuberculosis,"CORTISONE ACETATE TABLETS 25MG ""PING LAWER",8
1,Tuberculosis,"SILENCE TABLETS ""YUNG SHIN""(LORAZEPAM)",7
1,Tuberculosis,E-BUTOL TABLETS 400MG,35
1,Tuberculosis,"METHYCOBAL CAPSULES 500UG ""EISAI""(MECOBALAMIN)",1
1,Tuberculosis,"COMPESOLON TABLETS 5MG ""PINE LAWER"" (PREDNISOLONE)",2
1,Tuberculosis,"MUSCO TABLETS 30MG ""STANDARD"" (AMBROXOL HYDROCHLORIDE)",8
1,Tuberculosis,"KETOCONAZOLE CREAM 20MG/GM ""SINPHAR",8
1,Tuberculosis,"RINA CAPSULES ""P.L.",45
1,Tuberculosis,"WELIZEN F.C. TABLETS 20MG ""N.K.",9
1,Tuberculosis,"LIQUID BROWN MIXTURE (WITH OPIUM) ""CENTER",22
1,Tuberculosis,EURICON TAB. 50MG (BENZBROMARONE),2
1,Tuberculosis,MEPTIN-MINI TABLETS,3
1,Tuberculosis,BUTANYL INHALATION SOLUTION 2.5MG/ML (TERBUTALINE SULFATE),2
1,Tuberculosis,"IPRATRAN INHALATION SOLUTION 0.25MG/ML ""S.T.""(IPRATROPIUM BROMIDE)",2
1,Tuberculosis,"TELIN S.R TABLETS 200MG ""STANDARD",3
1,Tuberculosis,"DENOSIN FILM-COATED TABLETS 5MG ""LOTUS",3
1,Tuberculosis,GLUCOMET F.C. TABLETS 5/500MG,5
1,Tuberculosis,"CODICON-U CAPSULES ""SINPHAR",24
1,Tuberculosis,XYZINE F.C. TABLETS 5MG,2
1,Tuberculosis,"LORAPSEUDO SR F.C. TABLETS 5/120MG ""CYH",3
1,Tuberculosis,KALIMATE POWDER,1
1,Tuberculosis,ECONOPRED PLUS 1%,1
1,Tuberculosis,CATAFLAM 25MG SUGAR-COATED TABLETS,1
1,Tuberculosis,CLARINASE REPETABS TABLETS,2
1,Tuberculosis,NORVASC TABLETS 5MG,4
1,Tuberculosis,COZAAR F.C.TAB. 50MG,10
1,Tuberculosis,RIFINAH 150 S.C. TABLETS,6
1,Tuberculosis,RIFATER S.C.TAB.,24
1,Tuberculosis,ALLEGRA TABLETS 180MG,20
1,Tuberculosis,BEROTEC N 100MCG/PUFF METERED AEROSOL,6
1,Tuberculosis,SYMBICORT TURBUHALER 160/4.5UG/DOSE  120DOSE,17
1,Tuberculosis,SERETIDE 250 EVOHALER,5
1,Tuberculosis,ULTRACET TABLETS,2
1,Tuberculosis,ARCOXIA TABLET 60MG,3
1,Tuberculosis,CONCOR 1.25,10
1,Tuberculosis,TAKEPRON OD 30MG TABLETS,10
1,Tuberculosis,Harnalidge D tablets 0.2mg,7
1,Tuberculosis,AVAMYS NASAL SPRAY,3
1,Tuberculosis,"SPIRIVA RESPIMAT 2.5MCG, SOLUTION FOR INHALATION",23
1,Tuberculosis,Exforge film-coated tablet 5/160mg,6
1,Tuberculosis,FOSTER,1
1,Tuberculosis,DUPHALAC ORAL SOLUTION,3
1,Tuberculosis,PYRAZINAMIDE TABLETS 0.5GM,6
1,Tuberculosis,ANNA F COATED TABLETS,1
1,Tuberculosis,ISONIAZIDE TABLETS,4
1,Tuberculosis,VISTARIL CAPSULES,3
2,Septicemia,MENNA CAPSULES,2
2,Septicemia,MEDICON SYRUP,1
