CCS_CATEGORY,CCS_DESCRIPTION,DRUG_NAME,PATIENTS
49,DiabMelnoc,GLIBUDON TABLETS 500MG,1313
49,DiabMelnoc,AMARYL M FILM-COATED TABLETS 2/500MG,727
49,DiabMelnoc,JANUVIA 100 MG F.C. TABLETS,672
49,DiabMelnoc,GLUCOBAY TABLETS 50MG,645
49,DiabMelnoc,AMARYL 2.0 TABLETS,631
49,DiabMelnoc,LIPITOR FILM-COATED TABLETS 10MG,520
49,DiabMelnoc,"ASCOTYL ENTERIC-MICROENCAPSULATED CAPSULES 100MG ""STANDARD",462
49,DiabMelnoc,CRESTOR 10MG FILM-COATED TABLETS,455
49,DiabMelnoc,NORVASC TABLETS 5MG,414
49,DiabMelnoc,"LANTUS 100U/ML, SOLUTION FOR INJECTION",373
49,DiabMelnoc,GLIDIAB TABLETS 5MG(GLIPIZIDE) ,355
49,DiabMelnoc,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",321
49,DiabMelnoc,JANUMET 50/500 MG FILM-COATED TABLETS,318
49,DiabMelnoc,CONCOR 5 MG,289
49,DiabMelnoc,NOVORAPID PENFILL 3ML 100U/ML,287
49,DiabMelnoc,COZAAR F.C.TAB. 50MG,287
49,DiabMelnoc,DIOVAN FILM-COATED TABLETS 160MG,256
49,DiabMelnoc,LEVEMIR FLEX PEN,254
49,DiabMelnoc,NOVOMIX 30 PENFILL 3ML 100U/ML,248
49,DiabMelnoc,NOVONORM 1MG TABLETS,225
50,DiabMelw/cm,GLIBUDON TABLETS 500MG,857
50,DiabMelw/cm,JANUVIA 100 MG F.C. TABLETS,653
50,DiabMelw/cm,CRESTOR 10MG FILM-COATED TABLETS,613
50,DiabMelw/cm,AMARYL M FILM-COATED TABLETS 2/500MG,564
50,DiabMelw/cm,AMARYL 2.0 TABLETS,493
50,DiabMelw/cm,GLUCOBAY TABLETS 50MG,416
50,DiabMelw/cm,LIPITOR FILM-COATED TABLETS 10MG,348
50,DiabMelw/cm,"ASCOTYL ENTERIC-MICROENCAPSULATED CAPSULES 100MG ""STANDARD",348
50,DiabMelw/cm,"LANTUS 100U/ML, SOLUTION FOR INJECTION",346
50,DiabMelw/cm,NORVASC TABLETS 5MG,334
50,DiabMelw/cm,GLUCOMET F.C. TABLETS 5/500MG,325
50,DiabMelw/cm,ACTOS TABLETS 30MG,312
50,DiabMelw/cm,GLIDIAB TABLETS 5MG(GLIPIZIDE) ,306
50,DiabMelw/cm,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",289
50,DiabMelw/cm,JANUMET 50/500 MG FILM-COATED TABLETS,275
50,DiabMelw/cm,"FENOLIP-U TABLETS 160MG ""C.H.",265
50,DiabMelw/cm,COZAAR F.C.TAB. 50MG,253
50,DiabMelw/cm,CONCOR 5 MG,232
50,DiabMelw/cm,ONGLYZA FILM-COATED TABLETS 5MG,225
50,DiabMelw/cm,NOVOMIX 30 PENFILL 3ML 100U/ML,219
98,HTN,NORVASC TABLETS 5MG,1454
98,HTN,CONCOR 5 MG,1370
98,HTN,"ASCOTYL ENTERIC-MICROENCAPSULATED CAPSULES 100MG ""STANDARD",871
98,HTN,CRESTOR 10MG FILM-COATED TABLETS,602
98,HTN,COZAAR F.C.TAB. 50MG,560
98,HTN,APROVEL 300MG FILM-COATED TABLETS,543
98,HTN,DIOVAN FILM-COATED TABLETS 160MG,441
98,HTN,BEHYD TABLETS,383
98,HTN,ZANIDIP F.C TAB. 10MG,375
98,HTN,LIPITOR FILM-COATED TABLETS 10MG,372
98,HTN,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",344
98,HTN,COAPROVEL 300MG/12.5MG FILM-COATED TABLES,337
98,HTN,BLOPRESS TAB. 8MG,332
98,HTN,GLIBUDON TABLETS 500MG,311
98,HTN,ADALAT OROS 30,307
98,HTN,PLAVIX FILM-COATED TABLETS 75MG,262
98,HTN,PLENDIL TABLETS 5MG,252
98,HTN,IMDUR CONTROLLED-RELEASE TABLETS 60MG,245
98,HTN,CARDIZEM RETARD 90MG,242
98,HTN,HYZAAR FC TABLETS 100/12.5 MG,240
101,Coronathero,"ASCOTYL ENTERIC-MICROENCAPSULATED CAPSULES 100MG ""STANDARD",1376
101,Coronathero,CONCOR 5 MG,961
101,Coronathero,IMDUR CONTROLLED-RELEASE TABLETS 60MG,709
101,Coronathero,CRESTOR 10MG FILM-COATED TABLETS,704
101,Coronathero,PLAVIX FILM-COATED TABLETS 75MG,485
101,Coronathero,LIPITOR FILM-COATED TABLETS 10MG,372
101,Coronathero,NITROSTAT 0.6MG,321
101,Coronathero,BOKEY ENTERIC-MICROENCAPSULATED CAPSULES 100MG (ASPIRIN)  ,319
101,Coronathero,URETROPIC TABLETS,305
101,Coronathero,BLOPRESS TAB. 8MG,295
101,Coronathero,NORVASC TABLETS 5MG,278
101,Coronathero,COZAAR F.C.TAB. 50MG,266
101,Coronathero,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",265
101,Coronathero,DILATREND TAB. 6.25MG,221
101,Coronathero,"MAGNESIUM OXIDE TABLETS ""KINGDOM",212
101,Coronathero,CONCOR 1.25,207
101,Coronathero,APROVEL 300MG FILM-COATED TABLETS,179
101,Coronathero,NIRANDIL TABLETS 5 MG (NICORANDIL) “STANDARD”,172
101,Coronathero,DIOVAN FILM-COATED TABLETS 160MG,160
101,Coronathero,LIPITOR FILM-COATED TABLETS 40MG,149
158,Chrrenfail,"FOLACIN F.C. TABLETS 5MG (FOLIC ACID) ""JOHNSON",605
158,Chrrenfail,URETROPIC TABLETS,281
158,Chrrenfail,RECORMON SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 2000IU,221
158,Chrrenfail,"U-Ca soft capsule 0.25mcg (CALCITRIOL) ""SINPHAR",213
158,Chrrenfail,NORVASC TABLETS 5MG,211
158,Chrrenfail,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",194
158,Chrrenfail,"COMPESOLON TABLETS 5MG ""PINE LAWER"" (PREDNISOLONE)",181
158,Chrrenfail,"URINOL TABLETS (ALLOPURINOL) ""SINPHAR",180
158,Chrrenfail,CONCOR 5 MG,169
158,Chrrenfail,COZAAR F.C.TAB. 50MG,155
158,Chrrenfail,DIANEAL LOW CALCIUM (2.5MEQ/L) PERITONEAL DIALYSIS SOLUTION WITH,154
158,Chrrenfail,CELLCEPT CAPSULES 250MG,142
158,Chrrenfail,RECORMON SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 5000IU,139
158,Chrrenfail,"COLD CAPSULES ""SWISS BRAND",130
158,Chrrenfail,EURICON TAB. 50MG (BENZBROMARONE),129
