drug_no,drug_name
A000015421,YEN KUANG EYE DROPS
A000015435,YEN KUANG EYE DROPS
A000023100,NYDRAZID TABLETS 100MG
A000026157,VI-GRANS LIQUID
A000058172,"MEWEILY GRANULES ""TOLIN"
A000058199,"MEWEILY GRANULES ""TOLIN"
A000059100,"DIAPIN TABLETS 2MG (DIAZEPAM)""PINE LAWER"
A0000591G0,"DIAPIN TABLETS 2MG (DIAZEPAM)""PINE LAWER"
A000060100,"DIAPIN TABLETS 5MG (DIAZEPAM) ""PINE LAWER"
A0000601G0,"DIAPIN TABLETS 5MG (DIAZEPAM) ""PINE LAWER"
A000072100,"EPHEDRINE HCL TABELTS 25MG ""CENTRAL"
A000076100,"ACETAMINOPHEN TABLETS 0.3 GM ""F.Y."
A000080277,KEFLODIN INJECTION 0.5GM
A000081100,TETRACIN CAPSULES
A000085100,KESONTON CAPSULES
A000086100,SINOMIN TABLETS 500 MG
A000090100,FISHERMAN STRONG LIVER OIL CAPSULES
A000096100,MENNA CAPSULES
A000098100,EACO-15MG S.C. TABLETS
A000106100,"ERYTHROMYCIN CAPSULES 250MG ""KINGDOM"
A000111100,"ESTRIOL TABLETS ""HONTEN"
A000118100,"EPHEDRINE HCL TABLETS 25 MG ""F.Y."
A0001181G0,"EPHEDRINE HCL TABLETS 25 MG ""F.Y."
A000119100,"DL-METHYLEPHEDRINE HCL TABLETS 25.MG ""F.Y."
A0001191G0,"DL-METHYLEPHEDRINE HCL TABLETS 25.MG ""F.Y."
A000133209,PROLUTON DEPOT INJECTION 250 MG
A000134209,TESTOVIRON DEPOT INJECTION 100 MG
A000135321,ULTRALANUM OINTMENT
A000135329,ULTRALANUM OINTMENT
A000137151,BROWN MIXTURE LIQUID (WITHOUT OPIUM)
A000138209,TESTOVIRON DEPOT INJECTION 250 MG
A000152100,PUCOPIN TABLETS
A000164100,"NITROGLYCERIN TABLETS ""NYSCO"
A000173100,"FUDECOUGH TABLETS 15MG ""F.Y."
A000175100,"FUDECOUGH TABLETS 10MG ""F.Y."
A000177100,MUSCOL TABLETS 250MG
A000178100,"APREZIN TABLETS ""JOHNSON"
A0001781G0,"APREZIN TABLETS ""JOHNSON"
A000181209,PRIMODIAN DEPOT INJECTION
A000186100,DUOLUTON S.C. TABLETS
A000197100,"CHLORAMPHENICOL CAPSULES 250MG ""C.M."
A000199100,LASIX TABLETS
A000207177,MYLANTA LIQUID
A000207199,MYLANTA LIQUID
A000208100,MYLANTA TABLETS
A000209100,"DISON TABLETS ""VEI MIN"
A000215100,TERBOLAN TABLETS
A000260277,"COMPOUND SODIUM LACTATE INJECTION ""Y.F."
A000263209,"DEXTROSE AND SODIUM CHLORIDE INJECTION ""Y.F."
A000263265,"DEXTROSE AND SODIUM CHLORIDE INJECTION ""Y.F."
A000263277,"DEXTROSE AND SODIUM CHLORIDE INJECTION ""Y.F."
A000264421,SCHEROSON F OPHTHALMICUM
A000315100,CYPRODIN TABLETS
A000373100,PELITIN CAPSULES
A000389100,LUXSON TABLETS 40MG
A000415100,"GASMIN TABLETS ""F.Y."
A000419209,"DEXASONLIN INJECTION ""SINTON"
A000419212,"DEXASONLIN INJECTION ""SINTON"
A000419229,"DEXASONLIN INJECTION ""SINTON"
A000420100,"REIZER S.C. TABLETS 100 MG ""F.Y."
A000428100,SECOPON S.C. TABLETS
A000429100,WINON TABLETS
A000432100,"HETACILLIN CAPSULES 250MG ""KINGDOM"
A000437100,ALLERCUR S.C. TABLETS
A000463100,PARAMESONE TABLETS 6MG
A000476100,INPAN CAPSULES
A000479100,A-PARAMINE CAPSULES
A000480209,ADRENALIN INJECTION
A000483209,PROGYNON DEPOT INJECTION
A000484100,FESTAL ENTERIC-COATED TABLETS
A000505209,PROLUTON DEPOT INJECTION 125MG
A000506100,POPON CAPSULES
A000518100,"OXYTETRACYCLINE HCL CAPSULES ""TAH-AN"
A000519100,"TETRACYCLINE CAPSULES ""TAH-AN"
A000522100,"S.M.P. TABLETS ""CURIE"
A000541100,"AMPICILLIN CAPSULES ""Y.Y."
A000542100,"ERYTHROMYCIN CAPSULES ""TAH-AN"
A000543355,FLUCORT CREAM 0.025%
A000544316,FLUCORT OINTMENT 0.025%
A000552209,NEOLEWESHUE INJECTION
A000572100,PROWEL S.C.TABLETS
A000575100,PARAMESONE TABLETS 2.0MG
A000576100,PARAMESONE TABLETS 1.5MG
A000581212,"METHORPHAN INJECTION "" K.S."
A000582212,FUBANOL INJECTION
A000582221,FUBANOL INJECTION
A000582238,FUBANOL INJECTION
A000587100,VIBRAMYCIN CAPSULES 50MG
A000591238,"RANKAN INJECTION ""Y.Y."
A000604151,MEDICON SYRUP
A000605316,FLUCORT-F OINTMENT 0.025%
A000605321,FLUCORT-F OINTMENT 0.025%
A000605338,FLUCORT-F OINTMENT 0.025%
A000605355,FLUCORT-F OINTMENT 0.025%
A000612329,ULTRAPROCT OINTMENT
A000638100,SODINATE S.C. TABLETS
A000639100,"TRYNOL S.C. TABLETS 25MG ""JOHNSON"
A0006391G0,"TRYNOL S.C. TABLETS 25MG ""JOHNSON"
A000642500,ZAMIN SUPPOSITORIES
A000647100,CYTADINE 2MG TABLETS(CYPROHEPTADINE)
A000649100,TRYNOL S.C. TABLETS 10MG
A000655100,"AMINOPHYLLINE TABLETS 0.1GM ""F.Y."
A000706109,PEPTIDIN GRANULES
A000742177,HUSTAZOL POWDER
A000742199,HUSTAZOL POWDER
A000749100,"ALU-GEL COMPOUND CAPSULES ""M.H."
A000755118,"ANTI-COUGH SYRUP ""WASHINGTON"
A000755151,ANTI-CUGH SYRUP 60ML
A000755155,"ANTI-COUGH SYRUP ""WASHINGTON"
A000755199,"ANTI-COUGH SYRUP ""WASHINGTON"
A000768209,"LYO-KEROMYCIN INTRAMUSCULAR INJECTION 1GM ""C.C.P."
A000769209,"LYO-KEROMYCIN INJECTION 1GM ""C.C.P."
A000773100,"PULINPELIN CAPSULES 5MG (METOCLOPRAMIDE) ""C.T."
