CCS_CATEGORY,CCS_DESCRIPTION,DRUG_NAME,PATIENTS
101,Coronathero,"ASCOTYL ENTERIC-MICROENCAPSULATED CAPSULES 100MG ""STANDARD",1376
101,Coronathero,CONCOR 5 MG,961
101,Coronathero,IMDUR CONTROLLED-RELEASE TABLETS 60MG,709
101,Coronathero,CRESTOR 10MG FILM-COATED TABLETS,704
101,Coronathero,PLAVIX FILM-COATED TABLETS 75MG,485
101,Coronathero,LIPITOR FILM-COATED TABLETS 10MG,372
101,Coronathero,NITROSTAT 0.6MG,321
101,Coronathero,BOKEY ENTERIC-MICROENCAPSULATED CAPSULES 100MG (ASPIRIN)  ,319
101,Coronathero,URETROPIC TABLETS,305
101,Coronathero,BLOPRESS TAB. 8MG,295
101,Coronathero,NORVASC TABLETS 5MG,278
101,Coronathero,COZAAR F.C.TAB. 50MG,266
101,Coronathero,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",265
101,Coronathero,DILATREND TAB. 6.25MG,221
101,Coronathero,"MAGNESIUM OXIDE TABLETS ""KINGDOM",212
101,Coronathero,CONCOR 1.25,207
101,Coronathero,APROVEL 300MG FILM-COATED TABLETS,179
101,Coronathero,NIRANDIL TABLETS 5 MG (NICORANDIL) “STANDARD”,172
101,Coronathero,DIOVAN FILM-COATED TABLETS 160MG,160
101,Coronathero,LIPITOR FILM-COATED TABLETS 40MG,149
