CCS_CATEGORY,CCS_DESCRIPTION,DRUG_NAME,PATIENTS
49,DiabMelnoc,GLIBUDON TABLETS 500MG,1313
49,DiabMelnoc,AMARYL M FILM-COATED TABLETS 2/500MG,727
49,DiabMelnoc,JANUVIA 100 MG F.C. TABLETS,672
49,DiabMelnoc,GLUCOBAY TABLETS 50MG,645
49,DiabMelnoc,AMARYL 2.0 TABLETS,631
49,DiabMelnoc,LIPITOR FILM-COATED TABLETS 10MG,520
49,DiabMelnoc,"ASCOTYL ENTERIC-MICROENCAPSULATED CAPSULES 100MG ""STANDARD",462
49,DiabMelnoc,CRESTOR 10MG FILM-COATED TABLETS,455
49,DiabMelnoc,NORVASC TABLETS 5MG,414
49,DiabMelnoc,"LANTUS 100U/ML, SOLUTION FOR INJECTION",373
49,DiabMelnoc,GLIDIAB TABLETS 5MG(GLIPIZIDE) ,355
49,DiabMelnoc,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",321
49,DiabMelnoc,JANUMET 50/500 MG FILM-COATED TABLETS,318
49,DiabMelnoc,CONCOR 5 MG,289
49,DiabMelnoc,NOVORAPID PENFILL 3ML 100U/ML,287
49,DiabMelnoc,COZAAR F.C.TAB. 50MG,287
49,DiabMelnoc,DIOVAN FILM-COATED TABLETS 160MG,256
49,DiabMelnoc,LEVEMIR FLEX PEN,254
49,DiabMelnoc,NOVOMIX 30 PENFILL 3ML 100U/ML,248
49,DiabMelnoc,NOVONORM 1MG TABLETS,225
