CCS_CATEGORY,CCS_DESCRIPTION,DRUG_NAME,PATIENTS
50,DiabMelw/cm,GLIBUDON TABLETS 500MG,857
50,DiabMelw/cm,JANUVIA 100 MG F.C. TABLETS,653
50,DiabMelw/cm,CRESTOR 10MG FILM-COATED TABLETS,613
50,DiabMelw/cm,AMARYL M FILM-COATED TABLETS 2/500MG,564
50,DiabMelw/cm,AMARYL 2.0 TABLETS,493
50,DiabMelw/cm,GLUCOBAY TABLETS 50MG,416
50,DiabMelw/cm,LIPITOR FILM-COATED TABLETS 10MG,348
50,DiabMelw/cm,"ASCOTYL ENTERIC-MICROENCAPSULATED CAPSULES 100MG ""STANDARD",348
50,DiabMelw/cm,"LANTUS 100U/ML, SOLUTION FOR INJECTION",346
50,DiabMelw/cm,NORVASC TABLETS 5MG,334
50,DiabMelw/cm,GLUCOMET F.C. TABLETS 5/500MG,325
50,DiabMelw/cm,ACTOS TABLETS 30MG,312
50,DiabMelw/cm,GLIDIAB TABLETS 5MG(GLIPIZIDE) ,306
50,DiabMelw/cm,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",289
50,DiabMelw/cm,JANUMET 50/500 MG FILM-COATED TABLETS,275
50,DiabMelw/cm,"FENOLIP-U TABLETS 160MG ""C.H.",265
50,DiabMelw/cm,COZAAR F.C.TAB. 50MG,253
50,DiabMelw/cm,CONCOR 5 MG,232
50,DiabMelw/cm,ONGLYZA FILM-COATED TABLETS 5MG,225
50,DiabMelw/cm,NOVOMIX 30 PENFILL 3ML 100U/ML,219
