CCS_CATEGORY,CCS_DESCRIPTION,DRUG_NAME,PATIENTS
98,HTN,NORVASC TABLETS 5MG,1454
98,HTN,CONCOR 5 MG,1370
98,HTN,"ASCOTYL ENTERIC-MICROENCAPSULATED CAPSULES 100MG ""STANDARD",871
98,HTN,CRESTOR 10MG FILM-COATED TABLETS,602
98,HTN,COZAAR F.C.TAB. 50MG,560
98,HTN,APROVEL 300MG FILM-COATED TABLETS,543
98,HTN,DIOVAN FILM-COATED TABLETS 160MG,441
98,HTN,BEHYD TABLETS,383
98,HTN,ZANIDIP F.C TAB. 10MG,375
98,HTN,LIPITOR FILM-COATED TABLETS 10MG,372
98,HTN,"THROUGH F.C. TABLETS ""C.M.""(SENNOSIDES)",344
98,HTN,COAPROVEL 300MG/12.5MG FILM-COATED TABLES,337
98,HTN,BLOPRESS TAB. 8MG,332
98,HTN,GLIBUDON TABLETS 500MG,311
98,HTN,ADALAT OROS 30,307
98,HTN,PLAVIX FILM-COATED TABLETS 75MG,262
98,HTN,PLENDIL TABLETS 5MG,252
98,HTN,IMDUR CONTROLLED-RELEASE TABLETS 60MG,245
98,HTN,CARDIZEM RETARD 90MG,242
98,HTN,HYZAAR FC TABLETS 100/12.5 MG,240
